Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Education,Education,Milton,Milton SW 12 Public Elementary School,Under construction,23-Jan,Construction of new school,"New facility to accommodate 770 students in a growing community, including the construction of 88 child care spaces",Halton,Central,815 KENNEDY CIRCLE WEST,,,"$23,161,603 ",,Yes,,Yes,,43.50217029,-79.83544847,
Education,Education,Milton,St. Kateri Tekakwitha Catholic Secondary School,Planning,23-Sep,Construction of new school,New facility to accommodate 1611 students in a growing community,Halton,Central,LOUIS ST. LAURENT AVE / KENNEDY CIR,TBD,,"$43,354,595 ",,Yes,,,,,,
Education,Education,Milton,Milton 10 Catholic Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 671 students in a growing community, including the construction of 88 child care spaces",Halton,Central,WHITLOCK AVE / KENNEDY CIRCLE W,TBD,,"$18,727,105 ",,Yes,,Yes,,,,
Education,Education,Milton,Milton SE 13 Public Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 926 students in a growing community, including the construction of 88 child care spaces",Halton,Central,LOUIS ST. LAURENT AVE / TRUDEAU DR,,,"$24,322,278 ",,Yes,,,,43.5184477,-79.82437346,
Education,Education,Milton,Milton 9 Catholic Elementary School,Planning,2022,Construction of new school,"New facility to accommodate 671 students in a growing community, including the construction of 88 child care spaces",Halton,Central,GORDON KRANTZ AVE / KOVACHIK BLVD,TBD,,"$17,902,671 ",,Yes,,,,,,
Education,Education,Milton,Milton 11 Catholic Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 763 students in a growing community, including the construction of 88 child care spaces",Halton,Central,TBD,L9T 7V8,,"$23,302,526 ",,Yes,,,,,,
Broadband,Infrastructure,Milton,Halton 1 Broadband Project,Planning,24-Jun,New broadband construction by Cogeco Connexion,Providing reliable internet access,Halton,Central,,,,"$5,620,800 ",,Yes,Yes,Yes,,43.5407964,-80.0867291,
Recreation,Infrastructure,Milton,Improvements to the café and meeting room facilities at the Community Living North Halton building,Planning,2021,"The upgrades include replacement of existing carpet with vinyl flooring, adding new light fixtures, updating washrooms, expanding the café meeting area, and repainting meeting spaces. These upgrades will improve the access and quality of the community infrastructure by enabling the organization to offer more space for programming and meetings in this facility.",,Halton,Central,Suite B 917 Nipissing Road,L9T5E3,,"$69,750 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61012/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-for-milton-residents,43.52454,-79.86318,
Recreation,Infrastructure,Milton,Rehabilitation and expansion of the Crawford Lake Boardwalk,Planning,25-Aug,"These upgrades to the recreational path will include the installation of helical piles for boardwalk support and new decking and guardrails, and the refurbishment of rest stops, viewing areas and educational signage. These improvements will extend the boardwalk's lifespan and offer an improved visitor experience, while also meeting accessibility requirements.",,Halton,Central,2596 Britannia Line Road,L7P0G3,,"$2,280,000 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61012/canada-and-ontario-invest-in-improved-community-and-recreational-infrastructure-for-milton-residents,43.46858,-79.9488,
Recreation,Infrastructure,Milton,John Tonelli Sports Centre,Planning,26-Oct,"Upgrade and rehabilitate the facility, including the replacement of 8,000 square feet of flooring; the replacement of wooden spectator benches; and repaving of the parking lot.",Improved safety and durability of the arena's infrastructure.,Halton,Central,150 Mary Street/Rue,L9T6Z5,,"$1,396,638 ",Yes,Yes,Yes,,,43.5039,-79.8718,
Transit,Transportation,Milton,Design and Construction of a Transit Operations Facility,Under construction,26-Mar,"This project's scope is for the construction of a Transit Operations Facility including the followingcomponents:- Detailed design and facility layout- Site development- Contract administration, management, procurement process (value-for-money approach)- Facility constructionThe project will generate the following outputs:- Design, layout and construction of a Transit Operations Facility (Phase 1); 147,863 square feet- Inclusion of sustainable design and practices, using LEED criteria- Storage space for 36 conventional and specialized vehicles (Phase 1), with a total build-outcapacity for 70 vehicles- Space accommodation for vehicle servicing/maintenance, human resource capacities, amenities","The outcome of this project is to design and construct a Transit Operations Facility to facilitatecurrent and forecasted transit service requirements, to support population/employment growth inMilton and the broader GTHA.",Halton,Central,,,,"$46,987,903 ",Yes,Yes,Yes,,,,,
Communities,Infrastructure,Minden Hills,Rehabilitation of Minden Hills Community Facilities for Accessibility – CCRIS,Planning,2022,"Project work will improve four facilities: The Minden Library/Cultural Centre: upgrade the condition of retaining walls, stairs, ramps, the sidewalk and platforms around the Library and Cultural building; replacing guardrails and handrails. The Lochlin Community Centre and Irondale Community Centre: upgrade accessibility by replacing the ramp and installing an automatic door operator. Minden Curling Club Building: installing an elevator and air lock at the front of the building.","These improvements will provide the associated communities with safer and more accessible entrances to community spaces, meeting current Ontario Building Code standards, while extending the life of these facilities.",Haliburton,East,7 Milne Street/Rue,K0M2K0,,"$897,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.92724,-78.72748,
Recreation,Infrastructure,Minden Hills,Kinark Outdoor Centre Rehabilitation – CCRIS,Planning,24-Aug,"Project scope includes constructing an additional respite dorm; and improving the safety and accessibility of indoor and outdoor spaces like trails, waterfront areas, and classrooms. Other improvements will extend the service life of the dining hall and laundry facilities and provide winterization and accessibility to sleeping cabins. The project will increase the seasonal capacity of the facility and provide greater access to preventative respite for children with an Autism Spectrum Disorder.",,Haliburton,East,Suite 200 500 Hood Road,L3R9Z3,,"$1,488,300 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario,44.9,-78.7,
Roads and bridges,Infrastructure,Minden Hills,Replacement of the Sedgewick Bridge,Planning,2021,"The replacement of the existing one-lane Sedgewick Bridge with a new two-lane structure will improve safety and traffic flow, and reduce service interruptions.",,Haliburton,East,7 Milne Street/Rue,K0M2K0,,"$951,758 ",Yes,Yes,Yes,,,44.902528,-78.61779,
Recreation,Infrastructure,Minto,Renovation and Expansion of a Recreation Facility and its Grounds,Planning,23-Aug,"The project will renovate existing and add new dressing rooms, upgrade lighting at a baseball field, and construct a third baseball diamond with backstop fencing. The upgrades will improve the access, safety and quality of recreational infrastructure.",,Wellington,Southwest,5941 Highway 89 Highway,N0G1Z0,,"$2,415,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,43.49365,-80.50576,
Roads and bridges,Transportation,Minto,Road reconstruction,Planning,2021,Reconstruct Arthur Street East,,Wellington,Southwest,,,Highway 89,"$1,008,000 ",,Yes,,,,43.914691,-80.870649,
Broadband,Infrastructure,Mishkeegogamang First Nation,Mishkeegogamang First Nation Last Mile Upgrade Project,Under construction,2022,"Install two 200 foot towers with shelters and equipment, three access points and a point to point wireless connection between towers.","Providing reliable internet access which is essential to working, learning and connecting with others. ",,Northwest,Mishkeegogamang First Nation,,,"$179,040 ",Yes,Yes,Yes,,https://www.news.ontario.ca/mndmf/en/2020/02/province-supporting-broadband-access-to-better-connect-northwestern-ontario-indigenous-community.html,51.2,-90.3,
Communities,Infrastructure,Mishkeegogamang First Nation,Mishkeegogamang First Nation,Planning,25-Oct,New Osnaburgh water treatment plant upgrades,,,Northwest,1359 Anderson Rd,P9N4J8,,"$2,745,666 ",Yes,Yes,Yes,,,51.065,-90.273,
Child care,Education,Mississauga,Cashmere Avenue Public Elementary School,Planning,2022,Expansion of existing school,Addition to accommodate 73 child care spaces,Peel,Central,2455 CASHMERE AVE,L5B 2M7,,"$2,139,296 ",,Yes,,,,43.56495,-79.62595,
Child care,Education,Mississauga,San Lorenzo Ruiz Catholic Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,100 BARONDALE DR,L4Z 3R1,,"$1,604,472 ",,Yes,,,,43.61777,-79.66355,
Child care,Education,Mississauga,Our Lady of Mercy Catholic Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,5820 GLEN ERIN DR,L5M 5J9,,"$1,604,472 ",,Yes,,,,43.56934,-79.73301,
Education,Education,Mississauga,École élémentaire catholique Mississauga,Planning,25-Sep,Construction of new school,"New facility to accommodate 294 students in a growing community, including the construction of 39 child care spaces",Peel,Central,TBD,TBD,,"$7,436,333 ",,Yes,,,,,,
Education,Education,Mississauga,Elm Drive Public Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 650 students in a growing community, including the construction of 73 child care spaces and of 1 EarlyON room",Peel,Central,3492 KARIYA  DR,L5B 0L2,,"$19,773,297 ",,Yes,,Yes,,43.58788,-79.63283,
Education,Education,Mississauga,Thomas Street Public Elementary School,Planning,23-Sep,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,Peel,Central,2640 THOMAS ST,L5M 5G8,,"$2,859,161 ",,Yes,,,,43.56705273,-79.7256937,
Education,Education,Mississauga,Ellengale Public Elementary School,Planning,2022,Expansion of existing school,"New classroom addition of 642 pupil places for a growing school, including 73 child care spaces",Peel,Central,3480 ELLENGDALE DR,L5C 1Z7,,"$16,511,354 ",,Yes,,,,43.56361749,-79.65909184,
Health care,Health,Mississauga,Trillium Hospital Partners - Mississauga and Queensway Sites,Planning,28-Dec,"The project involves the complete redevelopment of the Mississauga Hospital site for acute care services, along with the consolidation of services, and a new inpatient tower at the Queensway Health Centre to consolidate the majority of Complex Continuing Care and Rehabilitation services. The project also includes enabling works projects to address parking capacity during the project and the relocation of high voltage services.The project at the Mississauga Hospital and Queensway Health Centre sites includes an early works project to address parking and the central utility plant; complete redevelopment of the Mississauga Hospital Site; and addition of a new patient tower at the Queensway Health Centre site.",The project addresses aging infrastructure and adds new space to allow for program and service improvement and expansion. ,Peel,Central,"150 Sherway Dr, Toronto",L5B 1B8,,0,,Yes,,Yes,http://www.infrastructureontario.ca/uploadedFiles/_CONTENT/News/2_Market_Update/Market%20Update%20Fall%202017%20-%20CHART.PDF,43.60962,-79.56239,
Communities,Infrastructure,Mississauga,Cooksville Creek Flood Storage Facility,Under construction,22-Dec,Design the  Cooksville Creek flood storage facility.,Reduce risk of downstream flooding.,Peel,Central,,,,"$420,579 ",Yes,Yes,Yes,Yes,,43.614144,-79.65195,
Communities,Infrastructure,Mississauga,Cooksville Creek Flood Storage Facility,Under construction,2022,Design the  Cooksville Creek flood storage facility to mitigate downstream flooding risks.,,Peel,Central,,,,"$354,627 ",Yes,Yes,Yes,Yes,,43.593839,-79.623183,
Communities,Infrastructure,Mississauga,Reconstruct the South Common Community Centre and Library in Mississauga,Planning,2022,"The new community centre will have expanded indoor and outdoor fitness spaces, an aquatics centre and a new gymnasium. This is in addition to a new 16,000 square-foot library and multi-purpose rooms for the Mississauga community.",,Peel,Central,300 City Centre Drive,L4Y4A3,,"$61,592,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000441/ontario-investing-over-45-million-to-reconstruct-the-south-common-community-centre-and-library-in-mississauga,,,
Communities,Municipal Affairs and Housing,Mississauga,Affordable Housing,Under construction,23-Jul,50 units geared towards families with low income at 958/960 East Avenue,"Apartments with 1, 2, 3 bedroom/unit geared towards families with low income",Peel,Central,958/960 East Avenue,L5E1W6,,"$6,060,484 ",Yes,Yes,,,,43.57192,-79.564328,
Communities,Municipal Affairs and Housing,Mississauga,Affordable Housing,Under construction,23-Jul,50 units geared towards families with low income at 958/960 East Avenue,"Apartments with 1, 2, 3 bedroom/unit geared towards families with low income",Peel,Central,958/960 East Avenue,L5W1W6,,"$9,415,070 ",Yes,Yes,Yes,,,43.572147,-79.563694,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at 5800 Explorer Drive (Triovest),Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 3 charging stations,Peel,Central,5800 Explorer Dr,,,0,,,,,,43.656206,-79.617067,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at Meadowvale Corporate Centre (Triovest),Planning,To Be Determined,Installation of electric vehicle charging stations,12 Level 2 and 2 Level 3 charging stations,Peel,Central,6880 Financial Dr,,,0,,,,,,43.60864,-79.74489,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at 5750 Explorer Drive (Triovest),Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 and 2 Level 3 charging stations,Peel,Central,5750 Explorer Dr,,,0,,,,,,43.656778,-79.615513,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at 4701/4715 Tahoe Boulevard (Triovest),Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 and 2 Level 3 charging stations,Peel,Central,4701 and 4715 Tahoe Blvd,,,0,,,,,,43.638791,-79.608968,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at TRCA - Indian Line Campground,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 2 charging station,Peel,Central,7625 Finch Ave E,,,0,,,,,,43.736013,-79.639384,
Communities,Transportation,Mississauga,Electric Vehicle Charging Station at Steeles Technology Campus (ImPark),Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 charging stations,Peel,Central,30 Eglinton Ave W,,,0,,,,,,43.60604,-79.65286,
Roads and bridges,Transportation,Mississauga,Highway 401 Widening,Under construction,23-Mar,Expansion and 18 kms of HOV lanes from the Credit River Bridge to RR25,,Peel,Central,,,Highway 401,"$640,000,000 ",,Yes,,,,,,
Roads and bridges,Transportation,Mississauga,Credit River Bridge,Under construction,25-Jun,Rehabilitation/replacement of the Credit Rivere Bridge,,Peel,Central,,,QEW,"$313,800,000 ",,Yes,,,,43.5567289,-79.6099704,
Transit,Transportation,Mississauga,Hurontario Light Rail Transit (LRT),Under construction,Fall 2024,New light rail transit,"The Hurontario light rail transit (LRT) project will be a 20-kilometre LRT line in the cities of Mississauga and Brampton along the Hurontario corridor, including a loop in downtown Mississauga. The line will have 22 stations. The project includes the pro",Peel,Central,,,Hurontario Light Rail Transit (LRT),"$5,632,000,000 ",,Yes,,,http://www.metrolinx.com/en/greaterregion/projects/hurontario-lrt.aspx,,,
Transit,Transportation,Mississauga,Port Credit GO Station,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,30 Queen St E,L5G 2Z6,Hurontario Light Rail Transit (LRT),0,,,,,,43.557555,-79.585233,
Transit,Transportation,Mississauga,Mineola Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Mineola Rd W / Hurontario St,L5G 4N9,Hurontario Light Rail Transit (LRT),0,,,,,,43.561693,-79.590628,
Transit,Transportation,Mississauga,North Service Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Harborn Rd,L5B 1M8,Hurontario Light Rail Transit (LRT),0,,,,,,43.569876,-79.601808,
Transit,Transportation,Mississauga,Queensway Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Queensway W,L5A 2G2,Hurontario Light Rail Transit (LRT),0,,,,,,43.574093,-79.607543,
Transit,Transportation,Mississauga,Dundas and Hurontario Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Dundas W,L5A 2G4,Hurontario Light Rail Transit (LRT),0,,,,,,43.580124,-79.616128,
Transit,Transportation,Mississauga,Central Parkway Fairview Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontio St / Central Pkwy W,L5B 0B9,Hurontario Light Rail Transit (LRT),0,,,,,,43.589204,-79.628713,
Transit,Transportation,Mississauga,Matthews Gate Burnhamthorpe Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Matthews Gate,L5A 3X1,Hurontario Light Rail Transit (LRT),0,,,,,,43.592289,-79.632996,
Transit,Transportation,Mississauga,Robert Speck Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Robert Speck Pkwy,L4Z 4E8,Hurontario Light Rail Transit (LRT),0,,,,,,43.596147,-79.638159,
Transit,Transportation,Mississauga,Rathburn City Centre Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Rathburn Rd W / Station Gate Rd,L5B 4E5,Hurontario Light Rail Transit (LRT),0,,,,,,43.594286,-79.646759,
Transit,Transportation,Mississauga,Eglinton and Hurontario Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Eglinton Ave E,L4Z 3X6,Hurontario Light Rail Transit (LRT),0,,,,,,43.606756,-79.652553,
Transit,Transportation,Mississauga,Bristol Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Bristol Rd E ,L5R 3K3,Hurontario Light Rail Transit (LRT),0,,,,,,43.614477,-79.663164,
Transit,Transportation,Mississauga,Matheson Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Matheson Blvd W,L5R 1C5,Hurontario Light Rail Transit (LRT),0,,,,,,43.619433,-79.669837,
Transit,Transportation,Mississauga,Britannia Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Britannia Rd E ,L4Z 3W7,Hurontario Light Rail Transit (LRT),0,,,,,,43.626345,-79.679149,
Transit,Transportation,Mississauga,Courtney Park Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Courtneypark Dr E,L5T 2Y9,Hurontario Light Rail Transit (LRT),0,,,,,,43.637162,-79.693794,
Transit,Transportation,Mississauga,Derry Stop,Under construction,Fall 2024,New Hurontario LRT stop,,Peel,Central,Hurontario St / Derry Rd,L5T 2Z6,Hurontario Light Rail Transit (LRT),0,,,,,,43.645975,-79.705853,
Transit,Transportation,Mississauga,Construction of a new bus rapid transit corridor along Lakeshore Road in Mississauga,Planning,27-Oct,"Improve capacity, access and speed of public transit along Lakeshore Road by building dedicated, centre-running bus rapid transit lanes from East Avenue toDeta Road;• Service planned intensification / transit oriented development along the Lakeshore Road corridor especially with respect to the redevelopment of the oldLakeview power generation site; and• Build a network of higher order transit lines in the City of MississaugaDesign and widen/reconstruct Lakeshore Road from East Avenue to Deta Road to provide two-way centre-running bus rapid transit lanes and 3 median BRTstop platforms. Relocation of utilities along the length of the corridor is also included.• 2 km of dedicated centre-running bus rapid transit lanes;• 3 new BRT stations-2km of dedicated, separated cycle tracks• 2km of widened sidewalks and improved public realm","Improved mobility and transportation user-experience, potentially leading to new transit network users and lower GHG emissions as a result of a reduction in",Peel,Central,,,,"$55,500,000 ",Yes,Yes,Yes,,,43.5716580|43.5757267|43.5805358|43.5846135|43.5861882,-79.5643732|-79.5600352|-79.5549520|-79.5506640|-79.5490333,
Transit,Transportation,Mississauga,Enhanced Stop Amenities for Priority (Express) Bus Corridors,Planning,27-Mar,"• Consistent with the 2041 Regional Transportation Plan by Metrolinx, which identified Priority Bus Corridors that include enhancements to customerexperience, the City will improve and enhance 4 Mississauga corridors: Derry, Eglinton, Dixie and Erin Mills, south of 403.Project scope includes procurement of services to complete installation of enhanced transit shelters (large heated shelters, AODA doors, digital signage) ateach of the 4 Mississauga corridor locations identified within City ROW. The construction/procurement phase will include a revised design of the shelter withspecifications from MiWay, and a review of property requirements.• Up to 88 enhanced express shelters will be installed within the 4 corridors identified; and• Coincide with the Province's Frequent Rapid Transit Network Bus Priority Corridors.Shelters include 15 shelters on Erin Mills, 23 shelters on Derry, 26 shelters on Eglinton and 25 shelters on Dixie",Improve capacity of public transit infrastructure through investments in up to 88 transit shelters.,Peel,Central,,,,"$36,800,000 ",Yes,Yes,Yes,,,43.599482,-79.660828,
Transit,Transportation,Mississauga,Major Bus Rehabilitations,Planning,27-Oct,"Project scope will include the procurement of services to complete major bus rehabilitation. Rehabilitation will include, but is not limited to work on bus engines, transmissions, and energy storage systems. Based on data from the past 4 years, listed below are the average rehabilitation completed broken down by the major components: - # of Engine Replacement/Rebuild per Year: 65 - # of Transmission Replacement/Rebuild per Year: 50 - # of ESS Modules Replaced per Year: 49 Outputs generated as result of this project includes the rehabilitation of 500 existing diesel fueled buses which are not up for lifecycle replacement, in order to maintain and/or extend the lifecycle of the bus. As a result, buses will be able to remain in service for longer periods of time with far less reliability concerns.","To improve quality and safety of existing and future transit system; • To replace and/or rebuild major transit bus components and subsystems (e.g. engines, transmissions, and energy storage systems) within our existing fleet of 500 buses; • To maintain and/or extend the life-cycle of the City of Mississauga’s current diesel fueled bus fleet; and • To increase the reliability and safety of buses for remaining life of the vehicles.",Peel,Central,,,,"$44,100,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Mississauga,ITS Hardware and Software Upgrade in Transit Buses,Planning,26-Mar,"Improve the quality and safety of the existing transit system, through intelligence transportation system improvements (CAD/AVL/MDT) in all transit buses; • Improve vehicle component status/telemetry data collection and upgrade the back-end Scheduling/Planning software • Improve ITS Equipment (cameras, dvr), back-end scheduling and monitoring systems. • Replace the CAD/AVL/MDT unit on approximately 300 transit buses; • Upgrade the back-end Bus Scheduling software (HASTUS) along with Bus Monitoring/Tracking software(Transit Master); • Upgrade other ITS Equipment (cameras,dvr) on all 300 buses; and • Upgrade/activate the software/module which helps with vehicle component monitoring(Bus Intelligence) • 300 transit buses upgraded CAD/AVL/MDT hardware with touch and voice enabled user-friendly interface;","Increased driver and passenger safety as new hardware standard features will immensely help drivers remain focused on the road; • Improved back-end software will provide more dispatching options, bus monitoring/asset tracking and over all security of ITS; • Proactive vehicle maintenance with better real time tracking; and • Increased safety through video surveillance improvements.",Peel,Central,,,,"$9,000,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Mississauga,Installation of On-Street Bus Shelters,Planning,27-Mar,30 on-street transit shelters will be installed per year (30/per year x 7 years = 210 on-street transit shelters); • Increased quality and safety within on-street transit shelters due to enhanced lighting and visibility of customers awaiting pick-up.,"Improve the safety of existing transit network through the installation of lighting at on-street transit shelters. This project will involve the installation of new bus shelters at existing bus stops. Shelter types include solar powered lighting, hydro powered lighting and ad panel lighting.",Peel,Central,,,,"$6,300,000 ",Yes,Yes,Yes,,,43.602173,-79.658389,
Transit,Transportation,Mississauga,Bus Terminal Shelter Enhancements,Planning,26-Mar,"The construction/procurement phase will include a new design of the shelter with required specifications from MiWay. • 4 enhanced transit shelters installed (Laird/Vega Bus loop, Meadowvale Town Centre, Erin Mills Town Centre and Dixie Outlet Mall);","Improve capacity of public transit infrastructure through investments in enhanced transit shelters (larger and heated); • Improve quality and safety of existing transit system with safety related improvements (digitized signage); and • Improve the public transit customer experience at existing MiWay bus terminals by increasing comfort and accessibility. The project scope includes the procurement of services in order to complete the installation of enhanced transit shelters (large heated shelters, with digital signage), at transit terminals located on leased properties",Peel,Central,,,,"$1,600,000 ",Yes,Yes,Yes,,,43.560474,-79.710711,
Transit,Transportation,Mississauga,New and/or Rehabilitation of Bus Stop Pads,Planning,22-Dec,"The project will undertake the installation of new bus stop pads / rehabilitation of existing bus stop pads to ensure that bus stops are fully accessible. Annual reviews of existing bus stops and bus stop pad locations are undertaken to identify issue areas and to rectify where possible. For the next two years, an estimated 140 bus stop pads will be installed (approximately 90%) or rehabilitated (approximately 10%).","Accessibility at our bus stops will improve participation opportunities for those with disabilities, removing the isolation barrier of transportation; and • Infrastructure life span will be 20-25 years before replacement, decreasing future municipal costs.",Peel,Central,,,,"$336,000 ",Yes,Yes,Yes,,,43.58976,-79.671796,
Transit,Transportation,Mississauga,Replacement of Stop Markers with New Accessible Design,Planning,27-Mar,Purchase and installation of 3325 bus poles and 6650 stop markers. Stop markers will be printed accordingto a new accessible design to be implemented system wide (at all bus stops).,Replace existing bus stop markers with an improved accessible design to ensure driver visibility; • Ensure compliance with City standards and compliance with AODA (Accessibility for Ontarians with Disabilities Act) standards; and • Ensure that residents of all abilities are able to safely enjoy Mississauga's public transit network.,Peel,Central,,,,"$704,000 ",Yes,Yes,Yes,,,43.594393,-79.658376,
Transit,Transportation,Mississauga,Enhanced Customer Partitions (Transitway),Planning,27-Mar,• Meet/or exceed the Accessibility for Ontarians with Disabilities Act and City accessibility standards.,"Minimize potential safety issues with customers crossing between platforms at stations along the Transitway and traversing on the guideway. While this is currently the path of least resistance, it is a prohibited and unsafe route for pedestrians; and • Ensure consistency with Metrolinx-owned Transitway partitions. Project scope includes the procurement of services in order to construct enhanced glass partitions on top of an existing median concrete jersey barrier that separates the guideway (i.e., the direction of travel) at 7 station locations in order to prevent customers from using the guideway",Peel,Central,,,,"$700,000 ",Yes,Yes,Yes,,,43.62961,-79.615184,
Transit,Transportation,Mississauga,Transit Terminal Upgrades,Planning,27-Oct,"The project will undertake the installation of new bus stop pads / rehabilitation of existing bus stop pads to ensure that bus stops are fully accessible. Annual reviews of existing bus stops and bus stop pad locations are undertaken to identify issue areas and to rectify where possible. For the next two years, an estimated  140 bus stop pads will be installed (approximately 90%) or rehabilitated (approximately 10%).","To undertake rehabilitation work and upgrades to existing mini-terminals, bays and bus loops to ensure that infrastructure is safe for use",Peel,Central,,,,"$700,000 ",Yes,Yes,Yes,,,43.595318,-79.633303,
Transit,Transportation,Mississauga,Purchase of Transit Support Vehicles,Planning,26-Mar,"• 140 new and/or refurbished bus stop pads (70 bus pads/year x 2 years = 140 total) - using the next two years as a guideline it would be 126 new/extension (~90%), 14 rehabilitation (~10%), but will vary from year to year; ","This project will also support the City of Mississauga's transition from gas-powered transit support vehicles to zero-emission battery electric alternatives, reducing emissions.",Peel,Central,,,,"$400,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Mississauga,Farebox Refurbishments,Under construction,23-Mar,Refurbish the farebox system in 530 buses. ,"Extended useful life, improved quality and accessibility of the transit system.",Peel,Central,,,,"$1,638,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Mississauga,Bus Replacement Program,Planning,27-Mar,"The purchase of 358 second-generation hybrid buses through the Mississauga Bus Replacement Program to replace existing diesel vehicles, reduce greenhouse gas emissions, and improve the quality and reliability of transit in Mississauga",Improved capacity of public transit infrastructure.,Peel,Central,,,,0,Yes,Yes,Yes,,,43.589,-79.6441,
Transit,Transportation,Mississauga,Transit Priority Measures (Infrastructure) for Priority (Express) Bus Corridors,Planning,27-Mar,"Project scope includes procurement of services to construct transit priority measures such as queue jump lanes at each of the 3 Mississauga corridor locationsidentified within City ROW. The construction/procurement phase will include a review of property requirements.• Transit priority measures (i.e., queue jump lanes) will be introduced at up to 25 intersections- 8 intersections on Derry Rd.- 8 intersections on Eglington Rd.- 9 intersections on Dixie Rd.• Coincide with the Province's Frequent Rapid Transit Network Bus Priority Corridors.The intent is to provide a queue jump lane on both approaches (i.e., 2 at each intersection) for a total of 16 queue jump lanes on Derry, 16 queue jump lanes onEglinton and 18 queue jump lanes on Dixie.",• Improve quality and safety of the existing transit system with safety related and operational improvements,Peel,Central,,,,0,Yes,Yes,Yes,,,43.589,-79.6441,
Communities,Infrastructure,Mississaugas of the New Credit First Nation,Re-Establishing Our Healing Journeys,Planning,23-Mar,"Project work includes the reconstruction of portions of the building destroyed by fire, the addition of Multipurpose and Spiritual Rooms for client and community use, and the addition of space for trauma support programming and cultural activities. The project will support the delivery of effective, culturally based addiction treatment, trauma programming, and healing for residents and clients.",,,Southwest,130 New Credit Road,N0A1H0,,"$5,388,716 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-4,42.996052,-80.100632,
Roads and bridges,Infrastructure,Mississippi Mills,Replacement of the Levi Bridge,Planning,2021,"Replacing the Levi Bridge with a new, two-lane bridge with new railings and guardrails will increase the safety and reliability of the structure for motorists. It will also extend the lifespan of the bridge and lower maintenance costs.",,Lanark,East,3131 Old Perth Road,K0A1A0,,"$1,007,039 ",Yes,Yes,Yes,,,45.370055,-76.372221,
