Date Reported,Time Reported,Reference Number,Site Municipality,Contaminant Name,Receiving Media,Health Impact,Environmental Impact,Health/Environmental Consequence,Sector Type,Source Type,Source/Sector Type,Incident Event,Incident Reason
6/23/2021,3:53 PM,1-LZJDR,BURLINGTON,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Sewer (Private or Municipal),,Overflow/Surcharge,Human error
6/21/2021,9:28 AM,1-KQXB6,NIAGARA FALLS,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Truck - Only Saddle Tanks,,Accident/Collision,Human error
6/21/2021,2:10 PM,1-KVAPR,MISSISSAUGA,NATURAL GAS,Air,2 Medium Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
6/18/2021,2:22 PM,1-IS286,RENFREW,GASOLINE,Land,1 Minor Health Impact,1 Minor Impact,,GASOLINE STATIONS WITH CONVENIENCE STORES,Fuel Pump,,Overfill,Unknown / N/A
6/17/2021,10:18 AM,1-INJ5W,THUNDER BAY,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Unknown / N/A,Unknown / N/A
6/17/2021,2:48 PM,1-IP3VJ,OTTAWA,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
6/17/2021,11:40 PM,1-IQ0J8,TORONTO,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Truck - Only Saddle Tanks,,Tank Rupture,Human error
6/15/2021,6:00 AM,1-I9KBQ,MISSISSAUGA,SMOKE,Air,1 Minor Health Impact,1 Minor Impact,,PETROLEUM REFINERIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
6/13/2021,11:20 PM,1-I08WH,NIAGARA FALLS,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Weather Event,Equipment failure/malfunction
6/10/2021,11:59 AM,1-HUC4B,ZORRA,OILY WATER,Land,1 Minor Health Impact,1 Minor Impact,,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS,Tank - Underground,,Unknown / N/A,Unknown / N/A
6/8/2021,9:08 PM,1-HPT9B,TEMISKAMING SHORES,DOUSE WATER (PARTICULATE CONTAMINANT),Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Fire,Unknown / N/A
6/7/2021,11:29 AM,1-HKM7P,WINDSOR,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
6/4/2021,3:02 PM,1-HGRFW,GUELPH,"ARGON, COMPRESSED",Air,1 Minor Health Impact,0 No Impact,,OTHER METALWORKING MACHINERY MANUFACTURING,Discharge Point  Manufacturing,,Process Upset,Process upset
6/3/2021,4:29 PM,1-HEK2Z,PORT HOPE,"URANIUM(V,VI) OXIDE",Land,2 Medium Health Impact,1 Minor Impact,,NUCLEAR ELECTRIC POWER GENERATION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
6/2/2021,5:25 PM,1-HAWPT,CHATHAM-KENT,HYDROGEN SULPHIDE,Air,2 Medium Health Impact,2 Minor Impact &/or Mortality,,No-Natural Disaster,Unknown / N/A,,Unknown / N/A,Unknown / N/A
6/2/2021,7:51 PM,1-HBLO0,TORONTO,GASOLINE,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Watercraft/Vessel,,Unknown / N/A,Human error (Unknown / N/A)
6/1/2021,8:14 PM,1-H8HDN,EAR FALLS,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Power Outage,Loss of utilities
5/31/2021,12:41 PM,1-H30L2,TORONTO,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Unknown / N/A,Unknown / N/A
5/31/2021,1:31 PM,1-H3MGZ,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
5/30/2021,8:37 PM,1-H0QYR,MISSISSAUGA,DOUSE WATER (PARTICULATE CONTAMINANT),Air; Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,FULL-SERVICE RESTAURANTS,Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/28/2021,10:07 AM,1-GVL33,WALLBRIDGE,"OIL (PETROLEUM BASED, NOT SPECIFIED)",Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/28/2021,10:45 AM,1-GVB6L,SARNIA,"SEWAGE, SECONDARY CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Wastewater Treatment Facility,,Unknown / N/A,Unknown / N/A
5/28/2021,7:11 PM,1-GX1SV,INNISFIL,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
5/25/2021,10:59 AM,1-GLNH5,THE NATION,DOUSE WATER (PARTICULATE CONTAMINANT),Land,1 Minor Health Impact,1 Minor Impact,,ALL OTHER WASTE MANAGEMENT SERVICES,Waste Disposal Site,,Fire,Human error
5/21/2021,3:08 PM,1-GHRSE,WINDSOR,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Lack of supervision
5/20/2021,12:31 PM,1-GEDGN,THUNDER BAY,DIESEL FUEL,Surface Water,1 Minor Health Impact,2 Minor Impact &/or Mortality,,Unknown / N/A,Motor Vehicle,,Tank Rupture,Human error
5/19/2021,12:44 PM,1-G9PFW,ST. THOMAS,"SEWAGE, RAW UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Process Upset,Blockage (Specify cause)
5/19/2021,3:20 PM,1-GAFKZ,SARNIA,"SEWAGE, PRIMARY UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/19/2021,3:36 PM,1-GAOUK,TORONTO,TRANSFORMER OIL (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,HYDRO-ELECTRIC POWER GENERATION,Transformer,,Leak/Break,Leak
5/18/2021,5:56 AM,1-G39VF,SEGUIN,MILK,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/17/2021,1:03 PM,1-FZIL7,MISSISSAUGA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/17/2021,10:37 PM,1-G2SLO,FORT ERIE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
5/15/2021,7:32 AM,1-FVX4R,BRANTFORD,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,PIPELINE TRANSPORTATION OF NATURAL GAS,Pipeline/Components,,Line Strike,Human error
5/14/2021,2:22 PM,1-FSVYX,VAUGHAN,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
5/12/2021,7:01 AM,1-FFZAW,CORNWALL,PCB TOTAL,Air,1 Minor Health Impact,1 Minor Impact,,WASTE TREATMENT AND DISPOSAL,Discharge Point  Manufacturing,,Power Outage,Shutdown
5/12/2021,7:21 AM,1-FG0TN,TEMISKAMING SHORES,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/12/2021,9:40 AM,1-FGNNG,TORONTO,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Lack of supervision
5/12/2021,3:59 PM,1-FJF9J,HEARST,FUEL (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Motor Vehicle,,Accident/Collision,Leak
5/10/2021,8:50 AM,1-F5X8Z,MALAHIDE,"SEWAGE, RAW UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewer (Private or Municipal),,Unknown / N/A,Unknown / N/A
5/10/2021,2:03 PM,1-F8A8R,WHITBY,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Leak/Break,Human error
5/9/2021,6:56 PM,1-F5MFZ,ST. CATHARINES,NATURAL GAS,Air,1 Minor Health Impact,2 Minor Impact &/or Mortality,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Other,Other
5/9/2021,8:23 PM,1-F58YB,MARKHAM,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error (Line Strike)
5/7/2021,11:19 AM,1-F2CSG,TORONTO,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
5/6/2021,8:17 AM,1-EV1VL,OTTAWA,CONCRETE,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Container/Drum/Tote,,Other,Vandalism/deliberate act
5/6/2021,10:51 AM,1-EXZH2,LONDON,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Other,,Other,Human error
5/5/2021,12:43 PM,1-EUTO0,TIMMINS,TALC,Land,1 Minor Health Impact,1 Minor Impact,,ALL OTHER NON-METALLIC MINERAL MINING AND QUARRYING,Discharge Point  Manufacturing,,Power Outage,Process upset
5/5/2021,3:12 PM,1-EW65J,KINGSTON,"DEUTERIUM, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING AND LIFE SCIENCES",Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/5/2021,3:26 PM,1-EW3A6,TORONTO,DIESEL FUEL,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
5/5/2021,4:20 PM,1-EWD2P,SAULT STE. MARIE,BLAST FURNACE GAS,Air,2 Medium Health Impact,1 Minor Impact,,IRON AND STEEL MILLS AND FERRO-ALLOY MANUFACTURING,Structure/Silo,,Process Upset,Unknown / N/A
5/5/2021,6:50 PM,1-EWOQE,TORONTO,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Truck - Only Saddle Tanks,,Unknown / N/A,Unknown / N/A
5/4/2021,12:24 PM,1-EPSCY,"MACDONALD, MEREDITH AND ABERDEEN ADDITIONAL",GASOLINE/OIL MIXTURE,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/30/2021,1:45 AM,1-EECPV,"LITTLE JOE LAKE, KENORA",DOUSE WATER (CONTAINING PESTICIDES),Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Truck - Transport/Hauling,,Unknown / N/A,Unknown / N/A
4/30/2021,1:46 PM,1-EGR5A,BANCROFT,"SEWAGE, FINAL EFFLUENT CHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Overflow/Surcharge,Blockage (Specify cause)
4/29/2021,9:25 AM,1-E564U,THE BLUE MOUNTAINS,"HYDROCARBONS, LIQUID (N.O.S.)",Ground Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/25/2021,6:30 PM,1-DGY99,OXDRIFT,DOUSE WATER (PARTICULATE CONTAMINANT),Land,1 Minor Health Impact,1 Minor Impact,,NURSERY STORES AND GARDEN CENTRES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/23/2021,4:23 PM,1-DCTKA,ORILLIA,"SEWAGE, RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Pipeline/Components,,Other,Human error
4/22/2021,12:28 PM,1-D6X3P,PETERBOROUGH,HYDRAULIC OIL,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Truck - Transport/Hauling,,Leak/Break,Equipment failure/malfunction
4/22/2021,5:04 PM,1-D68R9,OTTAWA,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
4/21/2021,10:17 AM,1-D00FO,EDWARDSBURGH-CARDINAL,"SEWAGE, RAW UNCHLORINATED",Surface Water,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Sewage Treatment,,Process Upset,Unknown / N/A
4/20/2021,10:03 AM,1-CT22X,PICKERING,"HYDROCARBON GAS MIXTURE, LIQUEFIED (N.O.S.)",Land,1 Minor Health Impact,1 Minor Impact,,GENERAL AUTOMOTIVE REPAIR,Container/Drum/Tote,,Fire,Fire
4/20/2021,1:24 PM,1-CU99R,TORONTO,DIGESTER GAS,Air,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/20/2021,5:38 PM,1-CZH4W,OTTAWA,UNKNOWN LIQUID,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Human error
4/16/2021,3:01 PM,1-CJLPE,CLARINGTON,CEMENT DUST,Air; Land,1 Minor Health Impact,1 Minor Impact,,CEMENT MANUFACTURING,Container/Drum/Tote,,Weather Event,Human error
4/15/2021,5:48 PM,1-CE5EG,SARNIA,SLOP OIL,Air,1 Minor Health Impact,1 Minor Impact,,PETROLEUM REFINERIES,Pipeline/Components,,Leak/Break,Leak
4/14/2021,8:25 AM,1-CC1H3,TORONTO,SMOKE,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Fire,Human error
4/14/2021,9:47 AM,1-CC9P5,TORONTO,DUST (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,RESIDENTIAL BUILDING CONSTRUCTION,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/13/2021,9:10 AM,1-CAKAF,GREY HIGHLANDS,PROPANE,Air,1 Minor Health Impact,1 Minor Impact,,LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,Truck - Transport/Hauling,,Unknown / N/A,Unknown / N/A
4/13/2021,10:18 AM,1-CBTHW,GREATER SUDBURY,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,PIPELINE TRANSPORTATION OF NATURAL GAS,Pipeline/Components,,Line Strike,Human error
4/12/2021,11:23 AM,1-CA2FG,BRAMPTON,SEWAGE SLUDGE,Land,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Non-Point Source,,Overflow/Surcharge,Unscheduled  maintenance
4/11/2021,10:53 PM,1-C9IG5,SARNIA,OPACITY,Air,1 Minor Health Impact,1 Minor Impact,,PETROLEUM REFINERIES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/10/2021,3:18 PM,1-C8ZLG,LONDON,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
4/10/2021,4:22 PM,1-C8VRH,SMITHS FALLS,PROPANE,Air,1 Minor Health Impact,1 Minor Impact,,RESIDENTIAL BUILDING CONSTRUCTION,Tank - Above Ground,,Overflow/Surcharge,Equipment failure/malfunction
4/9/2021,3:18 PM,1-C7B2R,BLUEWATER,"SEWAGE, FINAL EFFLUENT UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Wastewater Treatment Facility,,Other,Unknown / N/A
4/9/2021,11:31 PM,1-C8B71,ST. CLAIR,AMMONIA GAS (ANHYDROUS),Air,1 Minor Health Impact,0 No Impact,,CHEMICAL FERTILIZER (EXCEPT POTASH) MANUFACTURING,Discharge Point  Manufacturing,,Process Upset,Equipment failure/malfunction
4/8/2021,10:20 AM,1-C5DUD,BARRIE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
4/8/2021,4:11 PM,1-C5EDP,LONDON,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
4/8/2021,4:33 PM,1-C5FX3,AJAX,DIESEL FUEL,Land,1 Minor Health Impact,1 Minor Impact,,"GENERAL FREIGHT TRUCKING, LOCAL",Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/8/2021,4:43 PM,1-C5EIR,GRAVENHURST,"SEWAGE, ODOUR",Land,1 Minor Health Impact,1 Minor Impact,,SEWAGE TREATMENT FACILITIES,Pipeline/Components,,Unknown / N/A,Unknown / N/A
4/7/2021,8:17 AM,1-C43NT,NIAGARA FALLS,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,NATURAL GAS DISTRIBUTION,Pipeline/Components,,Line Strike,Human error
4/7/2021,9:47 AM,1-C4C3P,ST. CLAIR,ETHYLENE,Air,1 Minor Health Impact,1 Minor Impact,,PETROCHEMICAL MANUFACTURING,Refinery,,Unknown / N/A,Unknown / N/A
4/7/2021,12:54 PM,1-C4JPC,TORONTO,UNKNOWN,Land,1 Minor Health Impact,1 Minor Impact,,REMEDIATION SERVICES,Truck - Transport/Hauling,,Unknown / N/A,Inadequate Spill Prev. Plan
4/7/2021,1:04 PM,1-C4CFK,CALLANDER,"SEWAGE, RAW UNCHLORINATED",Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/6/2021,5:24 AM,1-C1AYE,TORONTO,DIESEL FUEL,Land,1 Minor Health Impact,0 No Impact,,"GENERAL FREIGHT TRUCKING, LONG DISTANCE, TRUCK-LOAD",Container/Drum/Tote,,Leak/Break,Human error
4/5/2021,2:58 PM,1-C2OUN,CAMBRIDGE,NATURAL GAS,Air,1 Minor Health Impact,1 Minor Impact,,PIPELINE TRANSPORTATION OF NATURAL GAS,Pipeline/Components,,Line Strike,Human error
4/2/2021,1:01 PM,1-C0ZEF,DRYDEN,NON-CONDENSIBLE GASES,Land; Surface Water,1 Minor Health Impact,1 Minor Impact,,MECHANICAL PULP MILLS,Pipeline/Components,,Unknown / N/A,Unknown / N/A
4/2/2021,2:48 PM,1-C1NNB,LONDON,DOUSE WATER (CONTAINING PESTICIDES),Air; Land,1 Minor Health Impact,1 Minor Impact,,RECYCLABLE METAL MERCHANT WHOLESALERS,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/1/2021,9:17 AM,1-C0ESE,GREATER SUDBURY,TAILINGS DUST,Air,1 Minor Health Impact,1 Minor Impact,,NICKEL-COPPER ORE MINING,Other,,Unknown / N/A,Unknown / N/A
4/1/2021,10:03 AM,1-C0EXJ,THUNDER BAY,WASHWATER (N.O.S.),Land,1 Minor Health Impact,1 Minor Impact,,MECHANICAL PULP MILLS,Pipeline/Components,,Overflow/Surcharge,Equipment failure/malfunction
4/1/2021,10:58 AM,1-C0FAU,MISSISSAUGA,"METHANE, COMPRESSED",Air,1 Minor Health Impact,1 Minor Impact,,PIPELINE TRANSPORTATION OF NATURAL GAS,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/1/2021,1:04 PM,1-C0I6B,OTTAWA,FREON,Air,1 Minor Health Impact,1 Minor Impact,,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/1/2021,2:19 PM,1-C0P11,TORONTO,UNKNOWN,Surface Water,1 Minor Health Impact,1 Minor Impact,,Unknown / N/A,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/1/2021,3:26 PM,1-C0PIC,ST. CLAIR,ETHYLENE,Air,1 Minor Health Impact,1 Minor Impact,,PETROCHEMICAL MANUFACTURING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
4/1/2021,4:20 PM,1-C0UOI,SAULT STE. MARIE,COKE GAS DRIP (WATER AND NAPHTHALENE),Land,1 Minor Health Impact,1 Minor Impact,,IRON AND STEEL MILLS AND FERRO-ALLOY MANUFACTURING,Valve/Fitting/Piping,,Unknown / N/A,Unknown / N/A
4/1/2021,4:39 PM,1-C0UJS,SAULT STE. MARIE,COKE,Land,1 Minor Health Impact,1 Minor Impact,,IRON AND STEEL MILLS AND FERRO-ALLOY MANUFACTURING,Truck - Tanker,,Unknown / N/A,Human error
3/31/2021,1:41 PM,1-C0EYG,SAULT STE. MARIE,PARTICULATES (NOT OTHERWISE SPECIFIED),Air,1 Minor Health Impact,1 Minor Impact,,NON-FERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING,Unknown / N/A,,Unknown / N/A,Unknown / N/A
2/3/2021,11:23 AM,7162-BXVM8H,GEORGIAN BAY,"SEWAGE,RAW UNCHLORINATED",Land,1 Minor Health Impact,1 Minor Impact,,Miscellaneous Communal,Other,,Dumping,Intentional Discharge
1/17/2021,4:32 PM,7284-BXCT9X,SARNIA,"OIL (PETROLEUM BASED, NOT SPECIFIED)",Surface Water,1 Minor Health Impact,1 Minor Impact,,Electric Power Generation,"Power Facility (i.e. Wind, Nuclear, Water, Solar, Natural Gas)",,Leak/Break,Equipment Failure
