Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Recreation,Infrastructure,OPASATIKA,Opasatika Community Hub Renovation Project,Planning,2021,"Renovation of the hub will include demolishing the existing playground structure and replacing it with a new one, installing a new accessibility lift, updating and preparing landscaping, and installing safe exercise flooring. Work will benefit all community residents, notably, under-served segments of the community.",,COCHRANE,Northeast,50 Government Road,P0L1Z0,,"$132,312 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.52884,-82.86252,
Communities,Transportation,ORANGEVILLE,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,DUFFERIN,Central,23 Broadway,,,0,,,,,,43.92214,-80.08565,
Transit,Transportation,ORANGEVILLE,Transit Transfer Station. Shelters/Stops and Fixed Assets,Planning,22-Dec,"Purchase a new 9-metre specialized low floor transit bus, and construct a new transfer terminal.",Improved transit service and more convenience for passengers. ,DUFFERIN,Central,,,,"$2,093,750 ",Yes,Yes,Yes,,,,,
Broadband,"Agriculture, Food and Rural Affairs",ORILLIA,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,SIMCOE,Central,,,,0,,,,,,,,
Education,Education,ORILLIA,Orillia Public Elementary School,Planning,24-Sep,Construction of new school,New facility to accommodate 334 students in a growing community,SIMCOE,Central,BASS LAKE SIDE RD / ATLANTIS DR,,,"$9,026,347 ",,Yes,,,,44.60999756,-79.46089488,
Recreation,Infrastructure,ORILLIA,Sound Masking Project,Planning,2021,"The project will install a sound masking system at the Orillia Public Library. The changes will reduce noise levels in the library's quiet zone to allow for research and study, and increase the accessibility of the space to more users.",,SIMCOE,Central,36 Mississauga Street West,L3V3A6,,"$24,625 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.60805,-79.42075,
Transit,Transportation,ORILLIA,New Transit Shelters,Under construction,27-Oct,Install 30 bus shelters throughout the city.,Enhanced comfort and safety of public transit users.,SIMCOE,Central,,,,"$678,500 ",Yes,Yes,Yes,,,44.6082,-79.4197,
Transit,Transportation,ORILLIA,Transit System Improvements,Under construction,2022,"Introduce smart pay systems, security cameras and bike racks on twelve conventional buses and one specialized bus. ","Improved quality and safety of, and access to, Orillia's public transit system.",SIMCOE,Central,,,,"$557,750 ",Yes,Yes,Yes,,,44.608,-79.4197,
Transit,Transportation,ORILLIA,New Transit Terminal,Planning,25-Sep,Construct a new bus terminal that includes parking and a connection to multi-use paths.,Improved access to the transit system and increased passenger satisfaction.,SIMCOE,Central,,,,"$9,975,000 ",Yes,Yes,Yes,,,44.6082,-79.4197,
Transit,Transportation,ORILLIA,Conventional and Specialized Bus Replacement,Planning,27-Mar,Purchase five conventional and two specialized buses to replace aging buses.,Improved quality and safety of the public transit service.,SIMCOE,Central,,,,"$4,080,000 ",Yes,Yes,Yes,,,44.6082,-79.4197,
Education,Education,ORO-MEDONTE,Oro Medonte Public Elementary School,Planning,23-Sep,Construction of new school,New facility to accommodate 357 students in a growing community,SIMCOE,Central,3331 LINE 4 N,L0L 2L0,,"$8,499,522 ",,Yes,,,,44.5536328,-79.65791738,
Education,Education,ORO-MEDONTE,Shanty Bay Public Elementary School,Planning,25-Sep,Construction of new school,New replacement facility to accommodate 190 students,SIMCOE,Central,1871 RIDGE RD W,L0L 2L0,,"$5,867,921 ",,Yes,,,,44.41454585,-79.57654972,
Child care,Education,OSHAWA,Seneca Trail Public Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,DURHAM,Central,1915 QUEENSBURY DR,L1K 0S1,,"$1,512,512 ",,Yes,,,,43.95745,-78.84251,
Education,Education,OSHAWA,Mary Street Public Elementary School,Planning,23-Sep,Expansion of existing school,New classroom addition of 190 pupil places to accommodate students and improve school condition,DURHAM,Central,110 MARY ST N,L1G 7S2,,"$5,588,496 ",,Yes,,,,43.90135107,-78.86242673,
Education,Education,OSHAWA,Monsignor Paul Dwyer Catholic Secondary School,Planning,24-Sep,Construction of new school,New replacement facility to accommodate 1061 students,DURHAM,Central,GREENHILL AVE / HARMONY RD N,,,"$29,405,627 ",,Yes,,,,43.951548,-78.85485,
Education,Education,OSHAWA,North Oshawa Public Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 536 students in a growing community, including the construction of 73 child care spaces",DURHAM,Central,WINDFIELDS FARM DR W / WINTERGRACE AVE,,,"$14,360,190 ",,Yes,,,,43.95723683,-78.914857,
Education,Education,OSHAWA,St. Anne Catholic Elementary School,Planning,24-Sep,Expansion of existing school,New classroom addition of 184 pupil places for a growing school,DURHAM,Central,2465 BRIDLE RD,L1L 0H9,,"$4,210,526 ",,Yes,,,,43.96078088,-78.89067934,
Education,Education,OSHAWA,North Oshawa Public Secondary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 1,387 students in a growing community",DURHAM,Central,TBD,L1L 0J9,,"$46,389,932 ",,Yes,,,,,,
Communities,Transportation,OSHAWA,Electric Vehicle Charging Station at Best Western Oshawa,Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 3 charging stations,DURHAM,Central,559 Bloor St W,,,0,,,,,,43.8749425,-78.8777375,
Transit,Transportation,OSHAWA,GO Expansion: Lakeshore East Corridor Durham Extension,Planning,To Be Determined,Expanding service on the GO Lakeshore East line from Oshawa to Clarington (Bowmanville),"20 new kilometres of rail, two new stations in Oshawa, one new station in Courtice and one new station in Bowmanville",DURHAM,Central,,,GO Rail Expansion,0,,,,,https://www.metrolinx.com/en/greaterregion/projects/bowmanville-expansion.aspx,,,
Communities,"Children, Community and Social Services",OTTAWA,1Door4Care: CHEO Integrated Treatment Centre,Planning,27-Mar,"Construct a new state-of-the-art children’s treatment centre on the CHEO campus, to offer critical services for children and youth with special needs.","Consolidation of services and improved support for developmental, rehabilitation, behavioural and mental health.. ",OTTAWA,East,401 Smyth Rd,K1H 8L1,,"$105,000,000 ",,Yes,,Yes,https://www.news.ontario.ca/en/release/52689/ontario-supports-the-childrens-hospital-of-eastern-ontario,45.400974,-75.651314,
Child care,Education,OTTAWA,Jockvale Public Elementary School,Planning,23-Sep,Renovation of existing school,Renovation to accommodate 15 child care spaces,OTTAWA,East,101 MALVERN DR,K2J 2S8,,"$259,648 ",,Yes,,,,45.27934,-75.75968,
Child care,Education,OTTAWA,Mary Honeywell Public Elementary School,Planning,23-Sep,Renovation of existing school,Renovation to accommodate 10 child care spaces,OTTAWA,East,54 KENNEVALE DR,K2J 3B2,,"$259,648 ",,Yes,,,,45.26882,-75.76723,
Child care,Education,OTTAWA,WE Gowling Public Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,OTTAWA,East,250 ANNA AVE,K1Z 7V6,,"$550,869 ",,Yes,,,,45.3829418,-75.7311534,
Child care,Education,OTTAWA,école élémentaire catholique Sainte-Marie,Planning,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,OTTAWA,East,2599 INNES RD,K1B 3J8,,"$550,869 ",,Yes,,,,45.43201,-75.56632,
Education,Education,OTTAWA,Stittsville Public Secondary School,Under construction,23-Sep,Construction of new school,New facility to accommodate 1353 students in a growing community,OTTAWA,East,700 COPE DR,K2S 2P8,,"$48,049,507 ",,Yes,,Yes,,45.267703,-75.890482,
Education,Education,OTTAWA,Fernbank Public Elementary School,Under construction,23-Sep,Construction of new school,"New facility to accommodate 628 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,480 COPE DR,K2S 1B6,,"$22,166,509 ",,Yes,,Yes,,45.27251598,-75.88071174,
Education,Education,OTTAWA,Half Moon Bay 2 Public Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 674 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,2535 RIVER MIST RD,K2J 6E6,,"$15,779,410 ",,Yes,,,,45.239478,-75.734469,
Education,Education,OTTAWA,St. James Catholic Elementary School,Under construction,2022,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,OTTAWA,East,50 STONEHAVEN DR,K2M 2K6,,"$5,303,432 ",,Yes,,Yes,,45.29147632,-75.86097684,
Education,Education,OTTAWA,école élémentaire publique Kanata Sud,Planning,23-Sep,Construction of new school,"New facility to accommodate 475 students in a growing community, including the construction of 49 child care spaces",OTTAWA,East,5609 FERNBANK RD,K2S 1B6,,"$12,463,546 ",,Yes,,,,45.27334978,-75.87116519,
Education,Education,OTTAWA,Riverside South Public Secondary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 1516 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,702 EARL ARMSTRONG RD,K1H 1H7,,"$42,319,111 ",,Yes,,,,45.27146119,-75.68675433,
Education,Education,OTTAWA,Fernbank Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 507 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,5505 FERNBANK RD,K2S 1B6,,"$12,474,882 ",,Yes,,,,45.283372,-75.911992,
Education,Education,OTTAWA,Barrhaven South Catholic Elementary School,Planning,23-Sep,Construction of new school,"New facility to accommodate 507 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,3387 BORRISOKANE RD,K2J 6K5,,"$12,474,882 ",,Yes,,,,45.25865872,-75.76745556,
Education,Education,OTTAWA,École élémentaire publique Barrhaven Sud,Planning,23-Sep,Construction of new school,"New facility to accommodate 475 students in a growing community, including the construction of 49 child care spaces",OTTAWA,East,KILBIRNIE DR / ALEX POLOWIN AVE,,,"$12,463,546 ",,Yes,,,,45.239663,-75.736286,
Education,Education,OTTAWA,École élémentaire catholique Au Cœur d'Ottawa,Under construction,23-Sep,Renovation of existing school,Renovation to accommodate 351 underserved French-language students and accommodate 39 child care spaces,OTTAWA,East,205 SCHOLASTIC DR,K1S 5H3,,"$5,750,869 ",,Yes,,,,45.409458,-75.673915,
Education,Education,OTTAWA,École élémentaire catholique Avalon III,Planning,23-Sep,Construction of new school,"New facility to accommodate 412 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,WALL RD,TBD,,"$10,550,799 ",,Yes,,,,,,
Education,Education,OTTAWA,Findlay Creek Catholic Elementary School,Planning,2022,Construction of new school,"New facility to accommodate 507 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,KELLY FARM DR / FINDLAY CREEK DR,,,"$13,223,372 ",,Yes,,,,45.31780086,-75.60373936,
Education,Education,OTTAWA,école élémentaire publique Orléans Sud,Planning,24-Sep,Construction of new school,"New facility to accommodate 354 underserved French-language students, including the construction of 49 child care spaces",OTTAWA,East,MER BLEUE RD / JÉRÔME JODOIN DR,TBD,,"$10,701,982 ",,Yes,,,,,,
Education,Education,OTTAWA,école secondaire catholique Paul-Desmarais,Planning,2022,Expansion of existing school,New classroom addition of 389 pupil places for a growing school,OTTAWA,East,5315 ABBOTT ST E,K2S 0X3,,"$11,977,182 ",,Yes,,,,45.274734,-75.89693518,
Education,Education,OTTAWA,Findlay Creek 2 Public Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 674 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,TBD,K1X 0E7,,"$19,235,117 ",,Yes,,,,,,
Education,Education,OTTAWA,Riverside South Catholic Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 507 students in a growing community, including the construction of 39 child care spaces",OTTAWA,East,TBD,K1V 0Z6,,"$15,206,878 ",,Yes,,,,,,
Education,Education,OTTAWA,école élémentaire publique Louise-Arbour,Planning,27-Sep,Construction of new school,"New facility to accommodate 449 students in a growing community, including the construction of 49 child care spaces",OTTAWA,East,TBD,K1R 6R9,,"$14,483,663 ",,Yes,,,,,,
Education,Education,OTTAWA,école secondaire catholique Mer Bleue,Planning,25-Sep,Expansion of existing school,New classroom addition of 343 pupil places for a growing school,OTTAWA,East,6401 RENAUD RD,K1W 0H8,,"$12,144,986 ",,Yes,,,,45.43591,-75.50284,
Health care,Health,OTTAWA,The Ottawa Hospital - Stem Cell Program,Under construction,23-Mar,Renovation and expansion of space for the Stem Cell Program,"Increase in number of inpatient and day hospital beds, treatment bays, and exam rooms while reducing wait times and costly inconvenient transfers out of the country. ",OTTAWA,East,501 Smyth Rd,K1H 8L6,,"$12,565,397 ",,Yes,,Yes,,45.401224,-75.647325,
Health care,Health,OTTAWA,The Ottawa Hospital - Civic Campus Redevelopment,Planning,28-Apr,"Redevelopment of the Ottawa Hospital's Civic Campus on a new site, including construction of a new state-of-the-art facility ","Service expansion, increased beds, increased education spaces and Improved access to upgraded and modernized facilities.",OTTAWA,East,1053 Carlington Ave,K1Y 4E9,,0,,Yes,,Yes,,45.39299274,-75.72176627,
Broadband,Infrastructure,OTTAWA,Constance Bay Fiber Project,Planning,2022,New broadband construction by NorthWind Wireless,Providing reliable internet access,OTTAWA,East,,,,"$4,003,396 ",,Yes,Yes,Yes,,45.5028898,-76.0913298,
Communities,Infrastructure,OTTAWA,"Renovation and Rehabilitation of Bronson Centre Community, Culture and Recreation Hub",Planning,24-May,"The project will renovate the main, rear, and side entrance-ways to improve access, refurbish the façade’s stonework, replace over 75% of the windows, and upgrade ten studio spaces and the theatre for creative arts use.",,OTTAWA,East,211 Bronson Avenue,K1R6H5,,"$2,236,740 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.413349,-75.706778,
Communities,Infrastructure,OTTAWA,Carlington Health and Housing Hub,Planning,2022,"The project will renovate the community service centre, which will include expanding rooms to create larger community spaces, improving accessibility to better accommodate client-facing services, and creating an outdoor garden area to be used as programming space or a children’s play area.",,OTTAWA,East,900 Merivale Road,K1Z5Z8,,"$881,746 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.38324,-75.73357,
Recreation,Infrastructure,OTTAWA,Optimiste Park - Genest Outdoor Pool Replacement,Planning,24-Jun,"Modernizing the 57-year-old pool facility will include expanding the pool basin, installing a new pool deck and fencing, and improving underground infrastructure and operating systems. Funding will also support the addition of lifeguard stations, a chemical storage area, increased shaded areas, and accessible change-rooms, pool, and pathways.This project will support increased recreational programming in the community, a safe and modern facility.",,OTTAWA,East,110 Laurier Ave W,K1P1J1,,"$3,666,500 ",,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.442304,-75.669262,
Recreation,Infrastructure,OTTAWA,Renovations at the Vanier Francophone Center,Planning,22-Dec,"The scope of work includes creating a new, multi-purpose space to replace the existing bowling room. Bowling lanes, seats and machinery will be removed, and windows and two additional exists will be installed. These renovations will allow the centre to provide more diverse and accessible services and community programming to area residents.",,OTTAWA,East,290 DUPUIS ST,K1L1A2,,"$876,541 ",,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.436765,-75.661961,
Recreation,Infrastructure,OTTAWA,Youville Centre Roof & HVAC Project,Planning,23-Oct,"This project will replace the facility's roof, upgrade the HVAC system, and improve thermal efficiency. These enhancements will provide a more comfortable environment for clients and staff, while improving energy efficiency, and reducing operating costs.",,OTTAWA,East,150 MANN AVE,K1N8P4,,"$1,309,465 ",,Yes,Yes,,https://www.news.ontario.ca/en/release/60988/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.4217,-75.66917,
Recreation,Infrastructure,OTTAWA,Construction of an outdoor wood pavilion,Planning,2021,"The project involves the construction of an outdoor wood pavilion, adjacent to the Trend-Arlington Community Centre. The project will use wood milled from the community's fallen trees, collected after the September 21, 2018 tornado.This project will enhance community living through increased access to new recreation and outdoor event spaces, strengthening community connections, and providing more opportunities for residents to get outside and be active. This project will also memorialize the day of the tornado, and the community's resilience and strength in rebuilding what was lost.",,OTTAWA,East,37 Parkland Crescent,K2H5V3,,"$255,341 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61026/canada-and-ontario-invest-in-a-community-pavilion-in-ottawa,45.327582,-75.783278,
Recreation,Infrastructure,OTTAWA,Renovation and Expansion of the Kanata Recreation Centre in Ottawa,Planning,23-Jul,"The project will renovate and expand the Kanata Recreation Centre and splash pad by adding new meeting and program rooms, updating the interior, installing an emergency exit stairwell to increase program capacity, upgrading the facility's lobby by adding a customer service centre and vestibule, and improving and enlarging the nearby splash pad at Walter Baker Park. Once completed, the updated Kanata Recreation Centre will provide better access to quality cultural, community and recreational spaces, and offer residents and families a safer, more enjoyable place to gather.",,OTTAWA,East,110 Laurier Ave W,K1P1J1,,"$4,500,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61064/canada-and-ontario-invest-in-the-renovation-and-expansion-of-the-kanata-recreation-centre-in-ottawa,45.294266,-75.901646,
Recreation,Infrastructure,OTTAWA,Centennial Park Enhancement Project,Planning,22-Dec,"The project will rehabilitate and expand venues at Centennial Park. The work includes constructing a new skateboard park, replacing the boards on the outdoor rink, building two basketball courts, improving landscaping and signage, and increasing accessibility by upgrading the park furniture.",,OTTAWA,East,5434 North Riverside Dr.,K4M1H2,,"$696,000 ",Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.221636,-75.68584,
Recreation,Infrastructure,OTTAWA,Playground 1 Renewal,Planning,26-Jun,"The project will replace non-accessible and end-of-life playground equipment at 29 locations across Ottawa. The project includes the addition of new accessible benches, swings, play structures and adjacent pathways.",,OTTAWA,East,110 Laurier Ave W,K1P1J1,,"$4,998,360 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000012/canada-and-ontario-invest-in-improved-community-and-culture-infrastructure-in-ottawa,45.41117,-75.69812,
Recreation,Infrastructure,OTTAWA,Diefenbunker: Canada's Cold War Museum and National Historic Site,Planning,22-Dec,"The renovations will improve ventilation, plumbing, electrical and mechanical systems while  modernizing the 60-year-old washrooms and elevator to meet accessibility standards.",These important upgrades will create good jobs during construction and also ensure that the facility continues to accommodate a diverse audience attendance,OTTAWA,East,3929 Carp Rd,K0A1L0,,"$1,492,150 ",Yes,Yes,Yes,,,45.351682,-76.047761,
Recreation,Infrastructure,OTTAWA,Snowmobile Rail Bridge,Planning,2021,Rehabilitation of interprovincial rail bridge for snowmobile use.,,OTTAWA,East,3045 Kinburn Side Road,K0A2H0,,"$426,300 ",Yes,Yes,Yes,,,45.464378,-76.285485,
Recreation,Infrastructure,OTTAWA,New Clubhouse for BGC Ottawa,Planning,2021,"The project includes the construction of a new clubhouse that will serve as a youth services and community interest facility. The new facility will offer better protection against COVID-19 and other viruses by including isolation rooms with direct access to outdoor space to avoid exposure, eight single stall gender inclusive bathrooms, additional hand washing stations, built-in separation for large spaces like the gym, multiple entrance and exit points, and two separate kitchens for cohort and community use. The new construction will result in energy efficiencies and cost savings as well as better, high-quality air exchange on the premises.","This clubhouse will serve one of Ottawa’s most at-risk communities, Ottawa South, and will increase building capacity by allowing more space for social distancing and other COVID-19 precautions. This project will provide more youth the opportunity to receive the support they need in a safe and protected environment for years to come.",OTTAWA,East,110 Laurier Ave W,K1P1J1,,"$5,000,000 ",,Yes,Yes,,https://www.news.ontario.ca/en/release/1000333/canada-and-ontario-invest-5m-in-new-clubhouse-for-bgc-ottawa,45.37662,-75.64365,
Communities,Municipal Affairs and Housing,OTTAWA,Affordable housing on Gladstone Avenue,Under construction,23-Jan,50 units geared towards persons with low income.,Apartments  with   2 and 3 bedroom  units geared towards persons with low income.,OTTAWA,East,811 Gladstone Avenue,K1R6Y1,,"$6,541,820 ",Yes,Yes,Yes,Yes,,45.405532,-75.709231,
Communities,Municipal Affairs and Housing,OTTAWA,Affordable housing on Colonial Road,Under construction,23-Jan,15 units geared towards seniors.,Apartments  with  1 and 2 bedroom  units geared towards seniors.,OTTAWA,East,2980 Colonial Road,K0A3E0,,"$1,800,000 ",Yes,Yes,Yes,Yes,,45.440071,-75.31276,
Communities,Municipal Affairs and Housing,OTTAWA,Affordable housing on Gladstone Avenue,Under construction,23-Jan,36 units geared towards seniors.,Apartments  with  1 bedroom and bachelor units geared towards seniors.,OTTAWA,East,811 Gladstone Avenue,K1R6Y1,,"$4,431,405 ",Yes,,Yes,Yes,,45.40658,-75.7069,
Communities,Municipal Affairs and Housing,OTTAWA,Affordable Housing,Under construction,23-Jan,44 units geared towards families with low income at 811 Gladstone Avenue,"Apartments with 2, 3, 4 bedroom/unit geared towards families with low income",OTTAWA,East,811 Gladstone Avenue,K1R6Y1,,"$6,069,000 ",Yes,Yes,Yes,Yes,,45.405934,-75.709035,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Ottawa Municipal Parking Lot 11,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,OTTAWA,East,687 Somerset St W,,,0,,,,,,45.41143,-75.70647,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Ottawa Park and Ride,Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 and 2 Level 3 charging stations,OTTAWA,East,130 Earl Grey Dr,,,0,,,,,,45.30788,-75.91032,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Ben Franklin Place,Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 and 1 Level 3 charging stations,OTTAWA,East,101 Centrepointe Dr,,,0,,,,,,45.36844,-75.73738,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Ottawa Park and Ride,Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 and 1 Level 3 charging stations,OTTAWA,East,3347 Fallowfield Rd,,,0,,,,,,45.29924,-75.73657,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,OTTAWA,East,989 River Rd,,,0,,,,,,45.23454,-75.67646,
Communities,Transportation,OTTAWA,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,OTTAWA,East,670 Bronson Ave,,,0,,,,,,45.403007,-75.701035,
Transit,Transportation,OTTAWA,Trillium Line (Ottawa LRT),Under construction,2023,"Upgrades to existing Trillium Line, as well as expansion of track and 8 additional stations. Extension into the Ottawa MacDonald-Cartier International Airport.",Southern extension of the Trillium Line adding 16 kilometres of light rail and eight new stations.,OTTAWA,East,,,Trillium Line (Ottawa LRT),"$4,657,000,000 ",Yes,Yes,Yes,,https://www.stage2lrt.ca/where/south/,,,
Transit,Transportation,OTTAWA,Corso Italia - Trillium Line,Under construction,2023,New Trillium Line station,Southern extension of the Trillium Line adding 16 kilometres of light rail and eight new stations.,OTTAWA,East,Gladstone Ave / Loretta Ave N,K1Y 3E6,Trillium Line (Ottawa LRT),0,,,,,https://www.ottawa.ca/en/planning-development-and-construction/major-projects/stage-2-light-rail-transit-project/o-train-south-extension-0/station,45.403512,-75.713782,
Transit,Transportation,OTTAWA,Airport - Trillium Line,Under construction,2023,New Trillium Line station,Southern extension of the Trillium Line adding 16 kilometres of light rail and eight new stations.,OTTAWA,East,Paul Benoit Driveway / Kiowa Private,,Trillium Line (Ottawa LRT),0,,,,,https://www.ottawa.ca/en/planning-development-and-construction/major-projects/stage-2-light-rail-transit-project/o-train-south-extension-0/station,45.327508,-75.669354,
Transit,Transportation,OTTAWA,Jeanne D’Arc - Confederation Line East,Planning,2024,Eastern extension of the Confederation Line to Trim Road adding 12 kilometres of light rail and five new stations.,,OTTAWA,East,Jeanne D'Arc Blvd N / Queensway,K1C 2N6,Confederation Line East (Ottawa LRT),0,,,,,https://www.ottawa.ca/en/planning-development-and-construction/major-projects/stage-2-light-rail-transit-project/o-train-east-extension-0/stations,45.469442,-75.546809,
Transit,Transportation,OTTAWA,Confederation Line West (Ottawa Stage 2 Light Rail Transit),Under construction,2025,Western extension of the Confederation Line to Trim Road adding 15 kilometres of light rail and 11 new stations.,,OTTAWA,East,,,Confederation Line West (Ottawa LRT),"$4,657,000,000 ",Yes,Yes,Yes,,https://www.ottawa.ca/en/planning-development-and-construction/major-projects/stage-2-light-rail-transit-project/o-train-west-extension-0/stations,,,
Transit,Transportation,OTTAWA,Confederation Line East (Ottawa Stage 2 Light Rail Transit),Under construction,2024,Eastern extension of the Confederation Line to Trim Road adding 12 kilometres of light rail and five new stations.,,OTTAWA,East,,,Confederation Line East (Ottawa LRT),"$4,657,000,000 ",Yes,Yes,Yes,,https://www.ottawa.ca/en/planning-development-and-construction/major-projects/stage-2-light-rail-transit-project/o-train-east-extension-0/stations,,,
Child care,Education,OWEN SOUND,École élémentaire catholique Saint-Dominique-Savio,Planning,2022,Expansion of existing school,Addition to accommodate 10 child care spaces,GREY,Southwest,800 23RD ST E,N4K 6Z5,,"$519,296 ",,Yes,,,,44.58707307,-80.92325457,
Child care,Education,OWEN SOUND,St. Basil's Catholic Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 78 child care spaces,GREY,Southwest,925 9TH AVE W,N4K 4N8,,"$2,077,180 ",,Yes,,,,44.56372,-80.96082,
Child care,Education,OWEN SOUND,Notre Dame Catholic Elementary School,Planning,24-Jan,Expansion of existing school,Addition to accommodate 78 child care spaces,GREY,Southwest,885 25TH ST E,N4K 6X6,,"$2,077,180 ",,Yes,,,,44.58869,-80.92243,
Education,Education,OWEN SOUND,St. Mary's Catholic Secondary School,Planning,27-Sep,Construction of new school,New facility to accommodate 1 012 students in a growing community,GREY,Southwest,555 15TH ST E,N4K 1X2,,"$36,097,630 ",,Yes,,,,44.57386,-80.93409,
Communities,Municipal Affairs and Housing,OWEN SOUND,Affordable Housing,Under construction,23-Jan,"10 units geared towards persons with disabilities,  families with low income at 2239 8th Street","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities,  families with low income",GREY,Southwest,2239 8th Street,N4K0H4,,"$1,497,995 ",Yes,Yes,Yes,Yes,,44.567941,-80.915885,
Communities,"Tourism, Culture and Sport",OWEN SOUND,Owen Sound C,Under construction,23-May,"Our Municipality, with a $400,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by purchasing compressors for the facility and upgrading the arena's cooling system to improve the overall efficiency of the facility. ",,GREY,Southwest,1900 3rd Avenue East,N4K 2M6,,"$400,000 ",,Yes,,,,44.58008,-80.935125,
Communities,Transportation,OWEN SOUND,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,GREY,Southwest,1015 10th St W,,,0,,,,,,44.56084,-80.96714,
Roads and bridges,Transportation,OWEN SOUND,10th Street Bridge Replacement,Under construction,2021,Replace the 10th Street Bridge from the intersection of 10th St East and 2nd Ave East to the intersection of 10th St. W and 2nd Ave West,,GREY,Southwest,,,Highway 21/6,"$3,000,000 ",,Yes,,,,44.567606,-80.944258,
Roads and bridges,Transportation,OWEN SOUND,Road rehabilitation,Planning,2021,Rehabilitate 16th Street East from 9th Avenue East to 18th Avenue East,,GREY,Southwest,,,Highway 26,"$933,427 ",,Yes,,,,44.58,-80.92,
Broadband,"Agriculture, Food and Rural Affairs",OXFORD COUNTY,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,OXFORD,Southwest,,,,0,,,,,,,,
